SR No,DESCRIPTION,QTY,IMAGE NO,IMAGE,RACK NO,REMARKS,image
"1","CHAIR","1","IMG_8454","","R3 E1","#11  16.10.2023","image1.jpg"
"2","AAVA CHAIR","3","IMG_8455","","R3 E1","#3  29.11.23","image2.jpeg"
"3","BLACK CHAIR","1","IMG_8456","","R3E1","#1  03.06.24","image3.jpeg"
"4","CILA (PU+WOOD) CILA 2205","1","IMG_8457","","R3E1","#19  21.08..23","image4.jpg"
"5","CHAIR","1","IMG_8458","","R3E1","#4  07.03.24","image5.jpeg"
"6","CHAIR CODE-6605
TABLET CODE-6606","1","IMG_8459","","R3E1","#24  16.10.24","image6.jpeg"
"7","AAVA BAR STOOL","1","IMG_8460","","R3E1","#4  29.11.23","image7.jpeg"
"8","CHAIR (COLOUR SHADE)","1","IMG_8461","","R3E1","#2  13.12.24","image8.jpeg"
"9","WOOD ROOND TABLET
CODE-LEAF-1814","1","IMG_8462","","R3E1","#17  16.10.23","image9.jpeg"
"10","CHAIR","1","IMG_8463","","R3E1","#1  13.12.24","image10.jpeg"
"11","ROUND TABLE DELL-7201","1","IMG_8464","","R3E1","#32  16.10.23","image11.jpg"
"12","LOUNGE CHAIR
CODE-KATA-5600+5604","1","IMG_8465","","R3E1","#2  23.05.24","image12.jpeg"
"13","CHAIR-WOOD ROUNDTABCE
BLUE,BLACK,WHITE","3","IMG_8466","","R3E1","#16  16.10.23","image13.jpeg"
"14","MARBLE TABLE
CODE-0744","1","IMG_8467","","R3E1","#1  07.03.24","image14.jpeg"
"15","STOOL
CODE-3853","1","IMG_8468","","R3E1","#49  16.10.23","image15.jpg"
"16","CHAIR [MARK ON CHAIR]
PH-8470","1","IMG_8469","","R3E1","#13  16.10.23","image16.jpg"
"17","SOFA    CODE-SEAN-1402
RX00383+V39","1","IMG_8471","","R3E1","#37  16.10.23","image17.jpeg"
"18","PANEL CODE PARAVAN-6401,6404,6403","3","IMG_8472","","R3E1","#31  16.10.23","image18.jpeg"
"19","MARBLE TABLE
CODE-6711","1","IMG_8473","","R3E1","#64  16.10.23","image19.jpeg"
"20","GLASS TABLE
CODE-SAUL-6703","1","IMG_8474","","R3E1","#35  16.10.23","image20.jpeg"
"21","ROUND TABLE","1","IMG_8475","","R3E1","#34  16.10.23","image21.jpeg"
"22","L-SHAPE TABLE PARTS 1/3","1","IMG_8476-8477","","R3E1","#2  31.10.23","image22.jpeg"
"23","L-SHAPE TABLE PARTS 2/3","1","IMG_8476-8477","","R3E1","#1  31.10.23","image23.jpg"
"24","L-SHAPE TABLE PARTS 3/3","1","IMG_8476-8477","","R3E1","#3  31.10.23","image24.jpg"
"25","PINK POUF-3009
PIXOOTDOOR","1","IMG_8478","","R3E1","#1  23.11.23","image25.jpeg"
"26","WHITE ROUND TABLE 1/2","1","IMG_8479","","R3E1","#7  16.10.23","image26.jpeg"
"27","ROUND TABLETOP 2/2","1","IMG_8479","","R3E1","#9  16.10.23","image27.jpeg"
"28","MARBLE ROUND TABLE
CODE-D1221E-0743","1","IMG_8480","","R3E1","#28  16.10.23","image28.jpeg"
"29","CARPET","2","IMG_8481","","R3E1","#52  16.10.23","image29.jpeg"
"30","ROUND TABLE
CODE-GHIA-7013","1","IMG_8482","","R3E1","#4  23.05.24","image30.jpeg"
"31","CARPET","2","IMG_8483","","R3E1","#30  16.10.23","image31.jpeg"
"32","WOOD ROUND TABLE
GHIA-7006-L006","","IMG_8484","","R3E1","#3  23.05.24","image32.jpeg"
"33","CARPET","2","IMG_8485","","R3E1","#51  16.10.23","image33.jpg"
"34","ROUND TABLE","1","IMG_8486","","R3E1","#29  16.10.23","image34.jpeg"
"35","DINNING TABLE","1","IMG_8487","","R3E1","#4  16.10.23","image35.jpg"
"36","SINGLE SPATER SOFA","1","IMG_8488","","R3E1","#01  05.01.24","image36.jpg"
"37","PUFF-FIX3013","1","IMG_8489","","R3E1","#8  30.09.24","image37.jpeg"
"38","CILA-60-2313 HDL-V25
CILA G-2307 CHAIR","1","IMG_8490/8491","","R3E1","#25  30.09.24","image38.jpg"
"39","CHAIR-FOL-V12-YOP-S728","1","IMG_8492","","R3E1","#26  30.09.24","image39.jpeg"
"40","CATIFA 46-0477-R10042
COUNTER STOOL P000115-V39","1","IMG_8493","","R3E1","#17  30.09.24","image40.jpg"
"41","DI22E 0711-1200-DIAMM
WHITE MDF H12-TOP     1/2","1","IMG_8495","","R3E1","#19  30.09.24","image41.jpeg"
"42","DI22E 0711-1200-DIAMM
WHITE MDF H12-TOPBASE   2/2","1","IMG_8495","","R3E1","#20   30.09.24","image42.jpeg"
"43","CHAIR   CATIGO-2141           
CATIFA -60-CV00836+V39","1","IMG_8496","","R3E1","#14  30.09.24","image43.jpg"
"44","CHAIR  T300608+V39
CATIFA -70-3300","1","IMG_8497","","R3E1","#13  30.09.24","image44.jpg"
"45","CHAIR CODRCATI-46-0312
CATIFA -46-0312/RX006T2V12","1","IMG_8498","","R3E1","#9  30.09.24","image45.jpeg"
"46","CHAIR-T-300210+V39
CODE-CATI53-3120","1","IMG_8499","","R3E1","#12  30.12.24","image46.jpeg"
"47","ARCOS-6101-T300474+V61","1","IMG_8500","","R3E1","#6  30.12.24","image47.jpeg"
"48","PARAVAN CORUED-CV00546
PANEL-6415-1675-HMM","1","IMG_8501","","R3E1","#21  30.09.24","image48.jpeg"
"49","PARAVAN CURUED PANEL
6415-1675HMM-CV00614 2/2","1","IMG_8501","","R3E1","#22  30.09.24","image49.jpg"
"50","PARAVAN CURUED PANEL 6415
CODE-PARA-6415 1/2","1","IMG_8502","","R3E1","#23  30.09.24","image50.jpeg"
"51","PARAVAN - 6407- 1240-HMM-CV00614 2/2","1","IMG_8502","","R3E1","#24  30.09.24","image51.jpeg"
"52","SEAN 1402 3 SEATER
ES 98087 1/2","1","IMG_8504","","R3E1","#3  30.09.24","image52.jpg"
"53","SEAN 1402 3 SEATER(LE4FITTN)
ES98087 2/2","1","IMG_8504","","R3E1","#4  30.09.24","image53.jpeg"
"54","CHAIR","1","IMG_8505","","R3E1","#5  31.09.24","image54.jpg"
"55","CILA SUEDE","1","IMG_8506","","R3E1","#35  21.08.23","image55.jpg"
"56","DUNA YELLOW (BASE)","1","IMG_8507","","R3E1","#29  21.08.23","image56.jpg"
"57","DUNA BASE GOLD(LEGS&SEAT)","1","IMG_8508","","R3E1","#22  21.08.23","image57.jpg"
"58","CILA UPH (WOOD)","1","IMG_8509","","R3E1","#13  21.08.23","image58.jpeg"
"59","WHITE MEETING TABLE BASE 1/2","1","IMG_8510","","R3E1","#10  21.08.23","image59.jpeg"
"60","WHITE MEETING ROUND TABLE 2/2","1","IMG_8510","","R3E1","#12  21.08.23","image60.jpeg"
"61","SOFA YELLOW COLOUR 1/2","1","IMG_8511","","R3E1","#2  12.10.24","image61.jpeg"
"62","SOFA YELLOW  COLOUR 2/2","1","IMG_8511","","R3E1","#3  18.10.24","image62.jpg"
"63","SOFA CHAIR","1","IMG_8512","","R3E1","#6  31.01.24","image63.jpeg"
"64","DIZZEE TABLE TOP 1/2","1","IMG_8513","","R3E1","#5  21.08.23","image64.jpeg"
"65","DIZZEE TABLE BASE 2/2","1","IMG_8513","","R3E1","#6  21.08.23","image65.jpeg"
"66","BROWN SOFA","1","IMG_8514","","R3E1","#24  18.10.24","image66.jpeg"
"67","DIZZEE COFFEE TABLE","1","IMG_8515","","R3E1","#25  21.08.21","image67.jpg"
"68","SIDE TABLE","1","IMG_8516","","R3E1","#7  31.01.24","image68.jpg"
"69","SAYA STOOL","1","IMG_8517","","R3E1","#31  21.08.23","image69.jpeg"
"70","AVA 4","1","IMG_8518","","R3E1","#24  21.08.23","image70.jpeg"
"71","ZINTA BENCH 1/3 PARTS","1","IMG_8519","","R3E1","#7  21.08.23","image71.jpeg"
"72","ZINTA BENCH 2/3 LEG","1","IMG_8519","","R3E1","#8  21.08.23","image72.jpeg"
"73","ZINTA BENCH 3/3 PARTS","1","IMG_8519
IMG_8521
DA","","R3E1","#9  21.08.23","image73.jpg"
"74","AAVA FU (NO ARM)","1","IMG_8522","","R3E1","#34  21.08.23","image74.jpg"
"75","CILAGO STOOL","1","IMG_8523","","R3E1","#3  21.08.24","image75.jpg"
"76","YELLOW SINGLE SOFA","1","IMG_8524","","R3E1","#1  18.10.24","image76.jpg"
"77","AVA STEEL WHEEL","1","IMG_8525","","R3E1","#23  21.08.23","image77.jpg"
"78","AVA WOODEN ARM 4 BASE","1","IMG_8526","","R3E1","#32  21.08.23","image78.jpeg"
"79","DUNA (BLACK + YELLOW)","1","IMG_8527","","R3E1","#14  21.08.23","image79.jpeg"
"80","WHEEL CHAIR","1","IMG_8528","","R3E1","#4  31.01.24","image80.jpeg"
"81","PARTITION","1","IMG_8529","","R3E1","#20  21.08.23","image81.jpg"
"82","AVA WOOD ARMS","1","IMG_8530","","R3E1","#27  21.08.23","image82.jpeg"
"83","CATIFA WILK TABLE","1","IMG_8531","","R3E1","#33  21.08.23","image83.jpg"
"84","CHAIR (DAMAGE)","1","IMG_8532/8533 DA","","R3E1","#10  14.12.24","image84.jpeg"
"85","NAVY BLUE,PINK CHAIR 2 PCS","1","IMG_8534","","R3E1","#2  14.12.24","image85.jpeg"
"86","CHAIR (DAMAGE)","1","IMG_8535/8537","","R3E1","#16  14.12.24","image86.jpeg"
"87","CHAIR (3 PCS)","1","IMG_8538","","R3E1","#17  14.12.24","image87.jpeg"
"88","BLUE LIGHT SKY BLUE ORANGE","1","IMG_8539","","R3E1","#5  14.12.24","image88.jpg"
"89","WOODEN CHAIR(2 PCS)","1","IMG_8540","","R3E1","#12  14.12.24","image89.jpeg"
"90","CHAIR","1","IMG_8541","","R3E1","#23  14.12.24","image90.jpeg"
"91","YELLOW CHAIR/DAMAGE","1","IMG_8542/8543 DA","","R3E1","#1  14.12.24","image91.jpg"
"92","GREY ARM CHAIR/DAMAGE","1","IMG_8544/8545 DA","","R3E1","#4  14.12.24","image92.jpeg"
"93","CHAIR","1","IMG_8546","","R3E1","#20  14.12.24","image93.jpeg"
"94","GREY CHAIR","1","IMG_8547","","R3E1","#7  14.12.24","image94.jpeg"
"95","LIGHT YELLOW","1","IMG_8548","","R3E1","#6  14.12.24","image95.jpeg"
"96","WOODEN CHAIR","1","IMG_8549","","R3E1","#15  14.12.24","image96.jpeg"
"97","CHAIR 4 PCS","1","IMG_8550","","R3E1","#8  14.12.24","image97.jpg"
"98","BLACK,GREY,WHITE CHAIR(3 PCS)(WHITE SCRACHES)","1","IMG_8551/8553 DA","","R3E1","#3  14.12.24","image98.jpeg"
"99","CHAIR 4 PCS","1","IMG_8554","","R3E1","#13  14.12.24","image99.png"
"100","CHAIR 2 PCS","1","IMG_8555","","R3E1","#14  14.12.24","image100.png"
"101","CHAIR 4 PCS (SCRATCHES)","1","IMG_8556/8557","","R3E1","#9  14.12.24","image101.png"
"102","CHAIR","1","IMG_7172","","R3E1","#25  14.12.24","image102.png"
"103","BLACK BASE","1","IMG_7173","","R3E1","#34  14.12.24","image103.png"
"104","CHAIR","1","IMG_7174","","R3E1","#24  14.12.24","image104.png"
"105","CHAIR","1","IMG_7175","","R3E1","#32  14.12.24","image105.png"
"106","CHAIR (COLOUR SHADE)","1","IMG_7176/7177","","R3E1","#19  14.12.24","image106.png"
"107","CHAIR (LEG BROKEN)","1","IMG_7178/7179","","R3E1","#22  14.12.24","image107.png"
"108","CHAIR","2","IMG_7180","","R3E1","#21  14.12.24","image108.png"
"109","WOODEN PCS (10 NOS)","1","IMG_7182","","R3E1","#18  14.12.24","image109.png"
"110","CHAIR PART 1/2","1","IMG_7183","","R3E1","#28  14.12.24","image110.png"
"111","CHAIR 2/2","1","IMG_7184","","R3E1","#27  14.12.24","image111.png"
"112","CHAIR WOOD N BLUE CHAIR","2","IMG_7185","","R3E1","#33  14.12.24","image112.png"
"113","CHAIR","2","IMG_7186","","R3E1","#26  14.12.24","image113.png"
"114","LEATHER CHAIR","1","IMG_7187","","R3E1","#11  14.12.24","image114.png"
"115","WOODEN GREY CHAIR","1","IMG_7188","","R3E1","#35  14.12.24","image115.png"
"116","TABLE BASE 1/3","1","IMG_7189","","R3E1","#30  14.12.24","image116.png"
"117","TABLE BASE 2/3","1","IMG_7189","","R3E1","#31  14.12.24","image117.png"
"118","TABLE TOP 3/3","1","IMG_7190","","R3E1","#29 14.12.24","image118.png"
"119","STUDY CHAIR","1","IMG_7191","","R3E1","#1  15.03.24","image119.png"
"120","STUDY CHAIR","1","IMG_7192","","R3E1","#2  15.03.24","image120.png"
"121","AAVA BAR STOOL","1","IMG_7193","","R3E1","#10  29.11.23","image121.png"
"122","AAVA CHAIR","3","IMG_7194","","R3E1","#9  29.11.23",""